,X,Y,Fit
0,0.558,-1.9,-0.106
1,-0.9,-1.107,0.16
2,0.946,0.707,0.633
3,1.569,-1.652,-0.0
4,0.946,-1.552,0.005
5,0.946,-1.107,0.15
6,1.669,0.707,-0.106
7,-0.8,0.707,0.754
8,0.946,0.707,0.633
9,0.946,-1.552,0.005
10,-0.8,-1.107,0.179
11,0.846,-1.207,0.129
12,0.846,0.607,0.738
13,0.846,-1.107,0.17
14,0.946,-1.207,0.114
15,-0.8,-1.207,0.136
16,0.846,-1.107,0.17
17,0.846,-1.207,0.129
18,0.946,0.607,0.651
19,-0.8,0.607,0.775
20,0.946,-1.207,0.114
21,0.946,0.607,0.651
22,0.846,0.607,0.738
23,-0.8,0.607,0.775
24,0.746,0.607,0.817
25,0.846,0.607,0.738
26,0.946,0.607,0.651
27,-0.8,0.607,0.775
28,0.746,0.607,0.817
29,0.746,0.707,0.795
30,0.846,0.607,0.738
31,0.946,0.507,0.659
32,0.746,0.507,0.827
33,0.646,0.607,0.889
34,0.946,0.607,0.651
35,0.746,0.607,0.817
36,0.946,0.407,0.658
37,0.946,0.707,0.633
38,0.746,0.607,0.817
39,0.646,0.607,0.889
40,0.746,0.607,0.817
41,0.746,0.307,0.816
42,0.646,0.707,0.865
43,0.946,0.607,0.651
44,0.646,0.507,0.9
45,0.546,0.207,0.928
46,0.746,0.707,0.795
47,0.746,0.707,0.795
48,0.646,0.707,0.865
49,0.746,0.707,0.795
50,0.846,0.407,0.746
51,0.746,0.407,0.827
52,0.646,0.407,0.899
53,0.646,0.407,0.899
54,0.846,0.707,0.718
55,0.746,0.707,0.795
56,0.646,0.707,0.865
57,0.646,0.707,0.865
58,0.846,0.407,0.746
59,0.746,0.407,0.827
60,0.846,0.407,0.746
61,0.946,0.707,0.633
62,0.746,0.307,0.816
63,0.646,0.407,0.899
64,0.846,0.507,0.747
65,0.846,0.307,0.737
66,0.546,0.407,0.962
67,0.746,0.407,0.827
68,0.846,0.307,0.737
69,0.846,0.407,0.746
70,0.846,0.507,0.747
71,0.546,0.507,0.963
72,0.846,0.607,0.738
73,0.846,0.307,0.737
74,0.446,0.407,1.016
75,0.846,0.407,0.746
76,0.546,0.707,0.925
77,0.446,0.407,1.016
78,0.846,0.407,0.746
79,0.846,0.407,0.746
80,0.446,0.407,1.016
81,0.446,0.707,0.977
82,0.846,0.407,0.746
83,0.546,0.307,0.95
84,0.446,0.707,0.977
85,0.446,0.307,1.003
86,0.446,0.307,1.003
87,0.546,0.307,0.95
88,0.446,0.707,0.977
89,0.346,0.207,1.021
90,0.446,0.307,1.003
91,0.646,0.307,0.887
92,0.446,0.307,1.003
93,0.446,0.107,0.946
94,0.646,0.307,0.887
95,0.346,0.307,1.046
96,0.446,0.307,1.003
97,0.446,0.207,0.979
98,0.346,0.307,1.046
99,0.346,0.307,1.046
100,0.346,0.107,0.987
101,0.346,0.207,1.021
102,0.446,0.307,1.003
103,0.446,0.207,0.979
104,0.346,0.307,1.046
105,0.246,0.107,1.017
106,0.446,0.207,0.979
107,0.346,0.207,1.021
108,0.246,0.207,1.053
109,0.246,0.207,1.053
110,0.346,0.107,0.987
111,0.346,0.107,0.987
112,0.346,0.207,1.021
113,0.246,0.307,1.078
114,0.246,0.107,1.017
115,0.346,0.107,0.987
116,0.146,0.207,1.074
117,0.246,0.207,1.053
118,0.346,0.307,1.046
119,0.346,0.307,1.046
120,0.346,0.207,1.021
121,0.446,0.307,1.003
122,0.246,0.307,1.078
123,0.346,0.307,1.046
124,0.346,0.407,1.059
125,0.246,0.307,1.078
126,0.346,0.107,0.987
127,0.446,0.207,0.979
128,0.446,0.207,0.979
129,0.346,0.307,1.046
130,0.346,0.107,0.987
131,0.246,0.107,1.017
132,0.346,0.007,0.944
133,0.446,0.107,0.946
134,0.246,0.307,1.078
135,0.246,0.207,1.053
136,0.346,0.107,0.987
137,0.346,0.207,1.021
138,0.446,0.007,0.905
139,0.146,0.007,0.993
140,0.346,0.207,1.021
141,0.346,0.107,0.987
142,0.346,0.307,1.046
143,0.446,0.207,0.979
144,0.346,0.107,0.987
145,0.346,0.207,1.021
146,0.246,0.107,1.017
147,0.446,0.107,0.946
148,0.246,0.207,1.053
149,0.246,0.107,1.017
150,0.246,0.107,1.017
151,0.346,0.207,1.021
152,0.346,0.107,0.987
153,0.346,0.207,1.021
154,0.246,0.207,1.053
155,0.246,0.307,1.078
156,0.446,0.207,0.979
157,0.246,0.307,1.078
158,0.246,0.207,1.053
159,0.246,0.207,1.053
160,0.246,0.207,1.053
161,0.246,0.207,1.053
162,0.246,0.207,1.053
